question_id,language,topic_id,question,correct_answer,incorrect_1,incorrect_2,incorrect_3,validated
371,Java,3,Which of the following data structures allows for efficient insertion and deletion at both ends?,Deque,ArrayList,HashSet,HashMap,0
372,Java,3,What is the output of ArrayList<Integer> list = new ArrayList<>(); list.add(2); list.remove(0)?,Error,0,1,2,0
373,Java,3,Which method removes the first element of a Queue?,poll(),dequeue(),remove(),shift(),0
374,Java,3,What is the time complexity of inserting an element in a linked list?,O(1) at head,O(n),O(log n),O(n^2),0
375,Java,3,Which of the following is a method of HashMap?,get(),retrieve(),find(),index(),0
376,Java,3,What is the output of ArrayList<String> list = new ArrayList<>(); list.add('a'); list.size()?,1,0,Error,2,0
377,Java,3,Which data structure is implemented as a hierarchical structure?,Tree,Array,Set,List,0
378,Java,3,What does the toArray() method do in a List?,Converts the list to an array,Clears the list,Adds an element,Removes duplicates,0
379,Java,3,Which of the following is a valid way to declare a PriorityQueue?,PriorityQueue<Integer> pq = new PriorityQueue<>();,PriorityQueue pq<Integer>;,PriorityQueue<Integer> pq;,pq = new PriorityQueue<>();,0
380,Java,3,What is the output of LinkedList<String> l = new LinkedList<>(); l.add('a'); l.get(0)?,'a',Error,0,1,0
381,Java,3,Which collection allows for random access?,ArrayList,LinkedList,HashSet,TreeSet,0
382,Java,3,What is the output of HashSet<String> set = new HashSet<>(); set.add('a'); set.add('a'); set.size()?,1,2,Error,0,0
383,Java,3,Which method retrieves and removes the first element from a queue?,poll(),dequeue(),remove(),shift(),0
384,Java,3,What is the result of String[] arr = new String[3]; arr[3]?,ArrayIndexOutOfBoundsException,null,0,Error,0
385,Java,3,What is the time complexity of accessing an element in a linked list?,O(n),O(1),O(log n),O(n^2),0
386,Java,3,What method is used to remove an element from a HashMap?,remove(),delete(),clear(),pop(),0
387,Java,3,Which of the following can be used to create a binary tree?,TreeNode root = null;,Node root;,BinaryTree t;,ArrayList<Node> t;,0
388,Java,3,What is the output of Queue<Integer> q = new LinkedList<>(); q.add(1); q.peek()?,1,0,Error,1,0
389,Java,3,Which of the following data structures does not allow for duplicate keys?,Map,List,Array,Set,0
390,Java,3,What is the output of ArrayList<Integer> list = new ArrayList<>(); list.add(1); list.add(2); list.get(1)?,2,1,0,Error,0
391,Java,3,What is the time complexity of inserting at the beginning of a linked list?,O(1),O(n),O(log n),O(n^2),0
392,C++,4,What is the default value of an uninitialized int variable?,Undefined,0,-1,Error,0
393,C++,4,Which keyword is used to declare a constant variable in C++?,const,final,static,immutable,0
394,C++,4,What is the output of int x = 5; cout << x;?,5,0,Error,5,0
395,C++,4,Which of the following is a valid variable name in C++?,var_name,1variable,variable-name,variable name,0
396,C++,4,What data type is used to store true or false values in C++?,bool,int,char,string,0
397,C++,4,Which of the following is not a primitive data type in C++?,String,int,char,float,0
398,C++,4,What is the output of string str = 'Hello'; cout << str;?,Hello,'Hello',Error,Hello!,0
399,C++,4,Which of the following correctly declares a vector?,std::vector<int> myVec;,std::vector myVec;,myVec = vector<int>();,vector myVec = std::vector<int>();,0
400,C++,4,What is the output of int x = 10; int y = 2; cout << x / y;?,5,5,Error,2,0
401,C++,4,Which of the following is a mutable data type?,std::vector<int>,std::string,std::array,Both A and B,0
402,C++,4,What is the output of float f = 5.5; cout << f;?,5.5,5,Error,5,0
403,C++,4,Which keyword is used to define a function in C++?,void,function,def,func,0
404,C++,4,What is the output of bool b = true; cout << b;?,1,TRUE,0,Error,0
405,C++,4,Which of the following is a valid way to declare a map?,"std::map<int, string> myMap;",std::map myMap;,"myMap = map<int, string>();","map myMap = std::map<int, string>();",0
406,C++,4,What is the output of myMap[1] = 'one'; cout << myMap[1];?,one,1,Error,'one',0
407,C++,4,Which of the following is an invalid variable name?,myVar,my-var,my_var,myVar1,0
408,C++,4,What is the output of int x = 10; cout << (x == 10);?,1,0,Error,TRUE,0
409,C++,4,What is the size of an empty vector in C++?,0,1,Error,None,0
410,C++,4,What does the keyword 'static' indicate in variable declaration?,Static scope,Local scope,Global scope,Thread safety,0
411,C++,4,Which of the following can hold multiple data types?,None,std::variant,std::vector,std::list,0
412,C++,4,"What is the output of myList = {1, 2, 3}; cout << myList[1];?",2,1,Error,3,0
413,C++,4,Which of the following correctly declares an array?,int myArray[5];,int myArray();,myArray = int[5];,array<int> myArray[5];,0
414,C++,4,What is the output of int x = 10; cout << (x += 5);?,15,10,Error,5,0
415,C++,4,What is the output of char c = 'A'; cout << c;?,A,65,Error,'A',0
416,C++,4,Which keyword is used to create a class in C++?,class,object,struct,define,0
417,C++,4,What is the output of int* ptr; cout << ptr;?,Undefined,0,Error,null,0
418,C++,4,What is the output of std::string str = 'C++'; cout << str;?,C++,'C++',Error,C,0
419,C++,4,Which of the following correctly initializes a set?,std::set<int> mySet;,std::set mySet;,mySet = set<int>();,set mySet = std::set<int>();,0
420,C++,4,"What is the output of std::vector<int> v = {1, 2, 3}; cout << v.size();?",3,Error,0,1,0
421,C++,4,Which of the following is a valid way to declare a pointer?,int* ptr;,int ptr*;,ptr = int*;,int ptr;,0
422,C++,4,What is the output of int x = 10; cout << ++x;?,11,10,Error,12,0
423,C++,4,What is the size of a long variable in C++?,At least 4 bytes,4 bytes,8 bytes,Depends on implementation,0
424,C++,4,What is the output of std::cout << (10 > 5);?,1,0,Error,TRUE,0
425,C++,4,Which of the following is the correct syntax for a lambda function?,[]() { return 1; },(int x) => { return x; },lambda x: x,(x) => return x;,0
426,C++,4,What is the output of int a = 10; cout << a--;?,10,9,Error,11,0
427,C++,4,What is the output of float x = 5.5; cout << static_cast<int>(x);?,5,5.5,Error,6,0
428,C++,4,"What is the result of the following declaration: int a, b, c;?",Three variables declared,Only a declared,Only a and b declared,None declared,0
429,C++,4,Which keyword is used to define an abstract class in C++?,There is no specific keyword,abstract,interface,class,0
430,C++,4,What is the output of std::cout << 'A' + 1;?,66,Error,A1,B,0
431,C++,4,Which of the following is a valid declaration of a string?,std::string myStr = 'Hello';,"std::string myStr = \Hello\"";""",Both A and B,None of the above,0
432,C++,4,What is the output of int a = 5; int b = 2; cout << a / b;?,2,2.5,Error,1,0
433,C++,4,What is the output of bool x = false; cout << !x;?,1,0,TRUE,FALSE,0
434,C++,4,Which of the following can be used to create a multi-dimensional array?,int myArray[3][3];,int myArray[];,myArray = new int[3][3];,Both A and C,0
435,C++,4,What is the output of std::cout << sizeof(int);?,4 (or depends on system),Error,8,2,0
436,C++,4,What is the output of int x = 5; x *= 2; cout << x;?,10,5,Error,2,0
437,C++,4,Which keyword is used to define a constant in C++?,const,final,static,define,0
438,C++,4,What is the output of float f = 5.5; cout << f;?,5.5,5,Error,5,0
439,C++,4,What is the size of a char variable in C++?,1 byte,2 bytes,4 bytes,8 bytes,0
440,C++,4,Which of the following is a valid way to declare a string?,"std::string myStr = \Hello\"";""",std::string myStr = 'Hello';,std::string myStr = Hello;,std::string myStr;,0
441,C++,4,What is the output of std::cout << (5 == 5);?,1,0,Error,TRUE,0
442,C++,4,Which of the following is the correct syntax for declaring a reference?,int& ref = x;,int& ref(x);,int ref& = x;,int ref = &x;,0
443,C++,4,What is the output of int a = 5; int b = 10; cout << (a + b);?,15,5,10,Error,0
444,C++,4,What is the size of a long long variable in C++?,8 bytes,4 bytes,2 bytes,Depends on implementation,0
445,C++,4,Which keyword is used for dynamic memory allocation?,new,malloc,alloc,create,0
446,C++,4,What is the default value of a float variable in C++?,Undefined,0,1,Error,0
447,C++,4,Which of the following is a valid way to declare a pointer to an integer?,int* ptr;,int ptr*;,int* ptr();,int ptr;,0
448,C++,4,What is the output of std::cout << (4.0 / 2);?,2,2,Error,4,0
449,C++,4,What is the size of a wchar_t variable in C++?,2 bytes,1 byte,4 bytes,Depends on implementation,0
450,C++,4,Which of the following correctly initializes a string?,"std::string myStr = \Hello\"";""",std::string myStr = 'Hello';,std::string myStr = Hello;,std::string myStr;,0
451,C++,4,What is the output of int a = 5; int b = 3; cout << a % b;?,2,1,Error,5,0
452,C++,4,Which keyword is used for inheritance in C++?,public,protected,private,inherits,0
453,C++,4,What is the output of char c = 'B'; cout << c;?,B,Error,66,'B',0
454,C++,4,"What is the output of int arr[3] = {1, 2, 3}; cout << arr[2];?",3,Error,2,1,0
455,C++,4,Which of the following is a valid declaration of a structure?,struct MyStruct {};,struct MyStruct;,MyStruct struct;,struct MyStruct {};,0
456,Java,4,What is the default value of an int variable?,0,1,-1,null,0
457,Java,4,Which keyword is used to declare a constant variable in Java?,final,const,static,immutable,0
458,Java,4,What is the size of a boolean variable in Java?,1 bit,1 byte,2 bytes,4 bytes,0
459,Java,4,Which of the following is a valid variable name in Java?,var_name,1variable,variable-name,variable name,0
460,Java,4,What type of variable is declared within a method?,Local variable,Instance variable,Class variable,Static variable,0
461,Java,4,Which of the following is a valid way to declare a double variable?,double myVar;,double myVar = 0;,myVar double;,0 double myVar;,0
462,Java,4,What is the default value of a boolean variable?,FALSE,TRUE,0,1,0
463,Java,4,Which of the following is not a primitive data type in Java?,String,int,char,boolean,0
464,Java,4,What is the output of int x = 5; System.out.println(x);?,5,Error,0,5,0
465,Java,4,Which of the following correctly declares a float variable?,float myVar = 5.0f;,float myVar = 5.0;,float myVar = 5;,float myVar = 5.0F;,0
466,Java,4,What keyword is used to create a class in Java?,class,object,struct,variable,0
467,Java,4,What is the size of a char variable in Java?,2 bytes,1 byte,4 bytes,8 bytes,0
468,Java,4,Which keyword is used to declare a static variable?,static,final,const,class,0
469,Java,4,What is the output of String str = 'Hello'; System.out.println(str);?,Hello,Error,null,0,0
470,Java,4,Which data type can store a single character?,char,String,int,byte,0
471,Java,4,What is the default value of an object reference?,null,0,FALSE,1,0
472,Java,4,Which of the following is a valid declaration of a String array?,String[] myArray;,String myArray[];,Both A and B,None of the above,0
473,Java,4,What does the keyword 'volatile' indicate in variable declaration?,Thread safety,Constant value,Static scope,Final value,0
474,Java,4,What is the output of int a = 10; int b = 20; System.out.println(a + b);?,30,10,20,Error,0
475,Java,4,Which of the following is an invalid variable declaration?,int 1var;,int var1;,float var_1;,boolean varName;,0
476,Java,4,What type of variable is shared among all instances of a class?,Static variable,Local variable,Instance variable,Final variable,0
477,Java,4,What is the output of System.out.println(5 + 3 + '8');?,58,11,Error,83,0
478,Java,4,Which keyword is used to declare a method that does not return a value?,void,return,null,static,0
479,Java,4,Which data type can hold the largest integer value?,long,int,short,byte,0
480,Java,4,What is the output of double d = 5.5; System.out.println(d);?,5.5,5,Error,5,0
481,Java,4,What type of variable is declared with the 'final' keyword?,Constant variable,Static variable,Local variable,Instance variable,0
482,Java,4,What is the output of char c = 'A'; System.out.println(c);?,A,65,Error,'A',0
483,Java,4,Which of the following correctly declares a multidimensional array?,int[][] myArray;,int myArray[][];,Both A and B,None of the above,0
484,Java,4,What is the scope of a local variable?,Method level,Class level,Package level,Global level,0
485,Java,4,What is the output of System.out.println(3 * 4 + '2');?,124,14,Error,32,0
486,Java,4,Which of the following data types is used to represent decimal numbers?,float and double,int,char,boolean,0
487,Java,4,What is the output of int x = 5; System.out.println(++x);?,6,5,Error,7,0
488,Java,4,Which of the following is the correct syntax for declaring a variable?,int varName;,int varName = 0;,Both A and B,None of the above,0
489,Java,4,What is the size of a long variable in Java?,8 bytes,4 bytes,2 bytes,1 byte,0
490,Java,4,Which keyword is used to define an interface in Java?,interface,class,abstract,enum,0
491,Java,4,What is the output of float f = 3.14f; System.out.println(f);?,3.14,Error,3.14f,3,0
492,Java,4,Which of the following is a valid declaration of a byte variable?,byte b = 10;,byte b = 128;,byte b = 200;,byte b = -130;,0
493,Java,4,What is the output of System.out.println(10 == 10);?,TRUE,FALSE,0,1,0
494,Java,4,Which of the following is not a valid identifier in Java?,var_name,VarName,2ndVar,$var,0
495,Java,4,What is the output of int x = 10; x += 5; System.out.println(x);?,15,10,5,Error,0
496,Java,4,Which of the following correctly initializes a String?,String str = 'Hello';,"String str = \Hello\"";""",Both A and B,None of the above,0
497,Java,4,What is the default value of a double variable?,0,0,null,Error,0
498,Java,4,Which data type is used to represent true/false values?,boolean,int,String,char,0
499,Java,4,What is the output of System.out.println('Hello' + ' World');?,Hello World,HelloWorld,Error,Hello+World,0
500,Java,4,"What is the result of the following declaration: int a, b, c;?",Three variables declared,Only a declared,Only a and b declared,None declared,0
501,Java,4,Which keyword is used to create an abstract class in Java?,abstract,interface,final,static,0
502,Java,4,What is the output of System.out.println(5 / 2);?,2,2.5,Error,2,0
503,Java,4,What is the default value of a double variable?,0,0,null,1,0
504,Java,4,Which of the following is a valid way to declare a String?,"String str = \Hello\"";""",String str = 'Hello';,String str = Hello;,"String str = new String(\Hello\"");""",0
505,Java,4,What is the output of int x = 5; System.out.println(x++);?,5,6,Error,4,0
506,Java,4,What keyword is used to declare an abstract method?,abstract,interface,final,void,0
507,Java,4,Which of the following is not a valid array declaration?,int[] myArray;,int myArray[];,int myArray[5];,int myArray()[];,0
508,Java,4,What is the output of System.out.println(10 / 3);?,3,3,Error,3.333,0
509,Java,4,What is the size of a short variable in Java?,2 bytes,4 bytes,1 byte,8 bytes,0
510,Java,4,Which of the following correctly declares a float variable?,float myVar = 5.0f;,float myVar = 5;,float myVar = 5.0;,float myVar = 5.0F;,0
511,Java,4,What is the output of boolean b = false; System.out.println(!b);?,TRUE,FALSE,0,1,0
512,Java,4,"What is the output of int[] arr = {1, 2, 3}; System.out.println(arr[1]);?",2,1,Error,3,0
513,Java,4,What is the default value of a boolean variable in Java?,FALSE,TRUE,null,0,0
514,Java,4,Which of the following is a valid way to declare a character?,char c = 'A';,"char c = \A\"";""",char c = A;,char c = `A`;,0
515,Java,4,"What is the output of System.out.println(5 + 3 + \ apples\"");?""",8 apples,5 apples,Error,8,0
516,Java,4,Which keyword is used to define an interface in Java?,interface,abstract,class,implements,0
517,Java,4,What is the output of int a = 5; int b = 10; System.out.println(a + b);?,15,5,10,Error,0
518,Java,4,What is the size of a byte variable in Java?,1 byte,2 bytes,4 bytes,8 bytes,0
519,Java,4,Which of the following is a valid way to declare a multidimensional array?,int[][] myArray;,int myArray[][];,Both A and B,int myArray[3][4];,0
520,Java,4,What is the output of float f = 5.5f; System.out.println(f);?,5.5,5,Error,5,0
521,Java,4,What is the output of System.out.println(true && false);?,FALSE,TRUE,0,1,0
522,Java,4,What is the output of int[] arr = new int[5]; System.out.println(arr.length);?,5,Error,0,1,0
523,Python,4,What is the default value of an uninitialized variable in Python?,None,0,FALSE,Error,0
524,Python,4,Which keyword is used to declare a constant variable in Python?,There is no constant keyword,const,final,static,0
525,Python,4,What is the output of x = 5; print(x)?,5,0,Error,5,0
526,Python,4,Which of the following is a valid variable name in Python?,var_name,1variable,variable-name,variable name,0
527,Python,4,What data type is used to store true or false values?,bool,int,str,list,0
528,Python,4,Which of the following is not a primitive data type in Python?,String,int,float,bool,0
529,Python,4,What is the output of x = 'Hello'; print(x)?,Hello,'Hello',Error,Hello!,0
530,Python,4,Which data type can store multiple items in a single variable?,list,int,bool,None,0
531,Python,4,"What is the output of x = [1, 2, 3]; print(len(x))?",3,2,Error,1,0
532,Python,4,Which of the following correctly declares a list?,my_list = [],my_list = (),my_list = {},my_list = ,0
533,Python,4,What is the output of x = 10; y = 2; print(x / y)?,5,5,Error,2,0
534,Python,4,"What is the output of x = (1, 2, 3); print(type(x))?",<class 'tuple'>,<class 'list'>,<class 'set'>,<class 'dict'>,0
535,Python,4,Which keyword is used to define a function in Python?,def,function,fun,define,0
536,Python,4,What is the output of x = True; print(int(x))?,1,0,TRUE,Error,0
537,Python,4,What is the output of my_dict = {'a': 1}; print(my_dict['a'])?,1,'a',Error,0,0
538,Python,4,Which of the following is an invalid variable name?,myVar,my-var,my_var,myVar1,0
539,Python,4,What is the output of x = 5; y = '5'; print(x == y)?,FALSE,TRUE,Error,0,0
540,Python,4,What type of variable is declared inside a function?,Local variable,Global variable,Instance variable,Class variable,0
541,Python,4,What is the size of an empty list in Python?,0,1,Error,None,0
542,Python,4,What does the keyword 'global' indicate in variable declaration?,Global scope,Local scope,Static scope,Final value,0
543,Python,4,Which of the following can hold multiple data types?,list,int,str,bool,0
544,Python,4,"What is the output of my_list = [1, 2, 3]; print(my_list[1])?",2,1,Error,3,0
545,Python,4,Which of the following correctly declares a tuple?,"my_tuple = (1, 2, 3)","my_tuple = [1, 2, 3]","my_tuple = {1, 2, 3}","my_tuple = 1, 2, 3",0
546,Python,4,What is the output of x = 10; print(x ** 2)?,100,20,10,Error,0
547,Python,4,What is the output of x = 'Hello'; print(x[1])?,e,Error,Hello,1,0
548,Python,4,"What is the output of my_list = [1, 2, 3]; print(my_list[-1])?",3,Error,1,2,0
549,Python,4,Which of the following is a valid way to initialize a set?,"my_set = {1, 2, 3}","my_set = [1, 2, 3]","my_set = (1, 2, 3)","my_set = 1, 2, 3",0
550,Python,4,What is the output of my_dict = {'a': 1}; print(my_dict.get('b'))?,None,Error,0,1,0
551,Python,4,Which of the following data types is immutable?,tuple,list,dict,set,0
552,Python,4,"What is the output of x = [1, 2]; y = x; y.append(3); print(x)?","[1, 2, 3]","[1, 2]",Error,[3],0
553,Python,4,Which of the following is the correct syntax for a lambda function?,lambda x: x + 1,lambda(x: x + 1),(lambda x: x + 1),function lambda(x: x + 1),0
554,Python,4,"What is the output of x = [1, 2, 3]; x[0] = 10; print(x)?","[10, 2, 3]","[1, 2, 3]",Error,"[0, 2, 3]",0
555,Python,4,What is the output of x = 'Python'; print(x[0:2])?,Py,Python,Error,P,0
556,Python,4,Which of the following is a valid way to declare a variable with multiple assignments?,"x, y = 1, 2","x = 1, y = 2","x: 1, y: 2",x = 1; y = 2,0
557,Python,4,"What is the output of my_list = [1, 2, 3]; print(my_list + [4])?","[1, 2, 3, 4]","[1, 2, 3]",Error,4,0
558,Python,4,Which of the following is a valid dictionary comprehension?,"{k: v for k, v in zip(keys, values)}","{k, v for k, v in zip(keys, values)}","{k: v in zip(keys, values)}","[k: v for k, v in zip(keys, values)]",0
559,Python,4,What is the output of x = None; print(type(x))?,<class 'NoneType'>,<class 'null'>,<class 'object'>,Error,0
560,Python,4,Which of the following is a valid way to declare a variable with type hinting?,x: int = 5,x = int: 5,int x = 5,5 = int x,0
561,Python,4,What is the output of x = 10; x += 1; print(x)?,11,10,Error,1,0
562,Python,4,Which of the following is a valid way to declare a dictionary?,my_dict = {'key': 'value'},my_dict = [],my_dict = (),my_dict = ,0
563,Python,4,"What is the result of x = [1, 2, 3]; x.append(4); print(x)?","[1, 2, 3, 4]","[1, 2, 3]",Error,4,0
564,Python,4,What is the output of str = 'Python'; print(str[0])?,P,Error,'Python',0,0
565,Python,4,Which keyword is used to create a class in Python?,class,object,struct,define,0
566,Python,4,"What is the output of x = {1, 2, 3}; print(len(x))?",3,2,Error,1,0
567,Python,4,Which of the following is a valid tuple?,"(1, 2, 3)","[1, 2, 3]","{1, 2, 3}","1, 2, 3",0
568,Python,4,What is the output of x = None; print(x is None)?,TRUE,FALSE,Error,None,0
569,Python,4,Which of the following is used for type hinting in Python?,x: int,x = int,int x,x as int,0
570,Python,4,"What is the output of x = [1, 2]; y = x; y[0] = 10; print(x)?","[10, 2]","[1, 2]",Error,"[0, 2]",0
571,Python,4,What is the output of x = '5'; print(int(x) + 1)?,6,5,Error,51,0
572,Python,4,Which of the following is a valid way to declare a set?,"my_set = {1, 2, 3}",my_set = [],my_set = (),"my_set = set[1, 2, 3]",0
573,Python,4,"What is the output of x = [1, 2, 3]; x.insert(1, 5); print(x)?","[1, 5, 2, 3]","[1, 2, 5, 3]",Error,"[5, 1, 2, 3]",0
574,Python,4,What is the output of x = 'abc'; print(x[1:3])?,bc,ab,Error,a,0
575,Python,4,Which keyword is used to create an instance of a class in Python?,class name(),new,object,create,0
576,Python,4,What will be the output of print(type([]) is list)?,TRUE,FALSE,Error,None,0
577,Python,4,Which of the following correctly initializes a dictionary with a key-value pair?,my_dict = {'key': 'value'},my_dict = {'key': 'value',my_dict = ('key': 'value'),"my_dict = {'key', 'value'}",0
578,Python,4,What is the output of x = 5; y = 2; print(x % y)?,1,2,Error,5,0
579,Python,4,Which data type is used to represent a sequence of characters?,str,list,dict,tuple,0
580,Python,4,What is the output of x = 2.5; print(int(x))?,2,2.5,Error,3,0